author,comment,published_at,like_count
@ellenthio9247,di tgn mul.. bkn kalian..,2024-12-06T23:14:23Z,0
@DanetteKshlerin,Lee Scott Hernandez Kenneth Taylor George,2024-09-30T14:28:57Z,0
@PriestleyJill-d6b,Lewis Patricia Lopez Betty White Michael,2024-09-25T16:04:17Z,0
@RafliAlam-w1f,"Pak, jadilah diri sendiri untuk Indonesia kku tercinta a",2024-05-23T14:48:25Z,0
@nyomansukarta134,Selamat....menikmati...KECURANGAN.....,2024-04-24T13:17:40Z,0
@ElangfaisalMuhtar,😂😂😂😂😂😂😂selamat wowo kena prenk,2024-04-17T19:49:49Z,0
@yuliantikaiju7533,Smg Pak Prabowo dpt memimpin Rkyt Indonesia ke pintu yg lbh maju utk kesejahteraan Bngsa Indonesia.....Aamiin....🤲🤲🤲❤❤❤🇮🇩🇮🇩🇮🇩🇮🇩🙏,2024-04-16T01:08:37Z,0
@bukanPStore,😇,2024-04-10T13:27:11Z,0
@themmioktiara,"Semoga pak Bowo bahagia bersama keluarga,tak bisa seorangpun menghalangi segala rencana yg baik,kecuali allah",2024-04-08T06:01:12Z,0
@agoestirto6699,Tunggu putaran ke 2,2024-04-05T12:37:17Z,0
@AhmadRosul-y9v,Lancar tibik,2024-04-01T22:26:35Z,0
@marjonoJono06,Kaki among LAN Nini among tansah njangkung sak mubah musike bapak Prabowo Subianto krono rindone Gusti kang moho suci,2024-03-28T11:45:50Z,0
@amrizalZal-fc8pr,Hidup ini harus jujur tegas dan berwibawa  rakyat di sejahtera kan harga sembako murah lapangan pekerja an banyak  di banyakan biar kemakmuran  dan berantas kemiskinan  Jang Jang m Jambi,2024-03-27T16:19:40Z,0
@BudiHarti-dm2wz,OK GAAASSSSSS PAK...,2024-03-27T13:29:15Z,0
@Khotimah-w8y,Alhamdulillah ahirnya pk prabowo dan pk Gibran  pilihan ku jadi persiden RI di th : 2024 smpe slanjutnya.smga lbih sejahtera bngsa indonesia Aamiiiiin ya Allah ya Robbal'alamiiin.🤲🤲,2024-03-27T10:50:28Z,0
@hermanedi1666,Berhasil di jalur keCurangan,2024-03-26T15:26:20Z,0
