author,comment,published_at,like_count,final_text
@ellenthio9247,di tgn mul.. bkn kalian..,2024-12-06T23:14:23Z,0,"di tangan Jokowi, bukan kalian."
@DanetteKshlerin,Lee Scott Hernandez Kenneth Taylor George,2024-09-30T14:28:57Z,0,Lee Scott Hernandez Kenneth Taylor George
@PriestleyJill-d6b,Lewis Patricia Lopez Betty White Michael,2024-09-25T16:04:17Z,0,"Lewis, Patricia, Lopez, Betty White, Michael."
@RafliAlam-w1f,"Pak, jadilah diri sendiri untuk Indonesia kku tercinta a",2024-05-23T14:48:25Z,0,"Pak, jadilah diri sendiri untuk Indonesia tercinta."
@nyomansukarta134,Selamat....menikmati...KECURANGAN.....,2024-04-24T13:17:40Z,0,Selamat menikmati kecurangan.
@ElangfaisalMuhtar,selamat wowo kena prenk,2024-04-17T19:49:49Z,0,selamat prabowo kena prank
@yuliantikaiju7533,Smg Pak Prabowo dpt memimpin Rkyt Indonesia ke pintu yg lbh maju utk kesejahteraan Bngsa Indonesia.....Aamiin....,2024-04-16T01:08:37Z,0,Semoga Pak Prabowo dapat memimpin Rakyat Indonesia ke pintu yang lebih maju untuk kesejahteraan Bangsa Indonesia. Amin.
@themmioktiara,"Semoga pak Bowo bahagia bersama keluarga,tak bisa seorangpun menghalangi segala rencana yg baik,kecuali allah",2024-04-08T06:01:12Z,0,"Semoga Pak Prabowo bahagia bersama keluarga, tidak ada yang bisa menghalangi segala rencana yang baik, kecuali Allah."
@agoestirto6699,Tunggu putaran ke 2,2024-04-05T12:37:17Z,0,Tunggu putaran ke 2
@AhmadRosul-y9v,Lancar tibik,2024-04-01T22:26:35Z,0,Lancar debat
@marjonoJono06,Kaki among LAN Nini among tansah njangkung sak mubah musike bapak Prabowo Subianto krono rindone Gusti kang moho suci,2024-03-28T11:45:50Z,0,Kaki among LAN Nini among tansah njangkung sak mubah musike bapak Prabowo Subianto krono rindone Gusti kang moho suci
@amrizalZal-fc8pr,Hidup ini harus jujur tegas dan berwibawa  rakyat di sejahtera kan harga sembako murah lapangan pekerja an banyak  di banyakan biar kemakmuran  dan berantas kemiskinan  Jang Jang m Jambi,2024-03-27T16:19:40Z,0,"Hidup ini harus jujur, tegas, dan berwibawa. Rakyat diharapkan sejahtera dengan harga sembako murah, lapangan pekerjaan banyak. Diupayakan agar kemakmuran meningkat dan kemiskinan bisa diberantas. Jang Jang m Jambi"
@BudiHarti-dm2wz,OK GAAASSSSSS PAK...,2024-03-27T13:29:15Z,0,"OK, gas pak."
@Khotimah-w8y,Alhamdulillah ahirnya pk prabowo dan pk Gibran  pilihan ku jadi persiden RI di th : 2024 smpe slanjutnya.smga lbih sejahtera bngsa indonesia Aamiiiiin ya Allah ya Robbal'alamiiin.,2024-03-27T10:50:28Z,0,Alhamdulillah akhirnya Prabowo dan Gibran pilihan saya jadi presiden RI di tahun 2024. Semoga lebih sejahtera bangsa Indonesia. Amin ya Allah ya Robbal'alamin.
@hermanedi1666,Berhasil di jalur keCurangan,2024-03-26T15:26:20Z,0,Berhasil di jalur kecurangan
@karnoto123,"YA TETAP BERTAHAN DENGAN BAIK LANCAR SEGALA URUSANNYA 
DENGAN BAIK SESUAI DIHARAPKAN MAMPU MEMBERIKAN JALAN YANG BAIK DAN BISA MENJADI INSPIRASI BAGI ORANG LAIN MENILAINYA DENGAN BAIK LAGI SEGALANYA ÀMIN AMIN ÀMIN AMIN YA ROBAL ALAMIN TERIMAKASIH TETAP SEMANGAT DAN TERUS BERJUANG BERSAMA SAMA DEMI TERCAPAINYA TUJUAN PASTI BISA MENDAPAT KAN HASILNYA DENGAN CARA INI BISA MENJADI MAJU TERUS BERJUANG BERSAMA SAMA DEMI TERCAPAINYA KEBAHAGIAAN BERSAMA DENGAN BAIK LAGI SEGALANYA ÀMIN AMIN ÀMIN AMIN ÀMIN AMIN ÀMIN AMIN ÀMIN AMIN YA ROBAL ALAMIN",2024-03-26T13:46:37Z,0,Ya tetap bertahan dengan baik lancar segala urusannya dengan baik sesuai diharapkan mampu memberikan jalan yang baik dan bisa menjadi inspirasi bagi orang lain menilainya dengan baik lagi segalanya amin amin amin amin ya Robal Alamin. Terimakasih tetap semangat dan terus berjuang bersama-sama demi tercapainya tujuan pasti bisa mendapatkan hasilnya dengan cara ini bisa
@isroissurur3831,Bravo pk prabowo,2024-03-26T13:04:01Z,0,Bravo Pak Prabowo
@pakhajii7802,Semoga BPK Prabowo dn Mas Gibran bertabah dan tawekal wsgirin,2024-03-26T11:54:40Z,0,"Semoga BPK Prabowo dan Mas Gibran bertabah dan tawakal, amin."
@sityrohimah9990,semoga bukan koar2x doang ya pak,2024-03-26T10:36:57Z,0,Semoga bukan hanya berkoar-koar saja ya Pak.
@mamanismail8171,01 03 yg mengugat pemilu curang. Jangan dikasilh masuk kabinet,2024-03-26T03:26:37Z,0,Pasangan calon nomor urut 1 dan 3 yang mengugat pemilu curang. Jangan diberi posisi di kabinet.
@TriyulissetiawanN,"Aah masyaa,, pak",2024-03-26T02:29:37Z,0,"Aah masyaallah, pak"
@thynachanel1691,01 03 ngaur haus kekusaan,2024-03-25T18:04:05Z,0,01 dan 03 saling menuduh korupsi.
@AJIEHERMAWAN-t4f,ALHAMDULILLAH SY COBLOS PRABOWO..SEMOGA AMANAH,2024-03-25T13:53:41Z,0,"Alhamdulillah saya coblos Prabowo, semoga amanah."
@Sunari-ib8ql,Bapak prabowo conta damai ramahh sesama...,2024-03-25T08:49:14Z,1,Bapak Prabowo sangat damai dan ramah sesama.
@Sunari-ib8ql,Bapak prabiowo cinta takyat sayang rakyat...,2024-03-25T08:48:35Z,1,Bapak Prabowo sangat mencintai dan peduli pada rakyat...
@candraritonga3999,"Selamat Buat Pak Prabowo Gibran semoga sehat dan sukses selalu,Amin",2024-03-25T07:02:40Z,0,"Selamat buat Pak Prabowo Gibran, semoga sehat dan sukses selalu, Amin."
@SudarMie-sj9mg,"Masyarakat Indonesian, Ber-Harap Agar DAMAI AMANAH mengemban tugas NEGARA Ya ALLAH AMIN 3 YRA",2024-03-25T01:24:06Z,0,"Masyarakat Indonesia, Berharap agar DAMAI AMANAH mengemban tugas negara Ya Allah amin 3 YRA"
@SudarMie-sj9mg,"Masyaallah semoga*ndohesia, Tetap, Tenteram damai sejahtera ATAS IZIN ALLAH SWT AMIN 3 YRA",2024-03-25T01:20:29Z,0,"Semoga Indonesia tetap tenteram damai sejahtera atas izin Allah SWT, amin. Pasangan calon nomor urut 3 YRA."
@boost350-pr2ym,Is he a Muslim?,2024-03-24T23:33:47Z,0,Is he a Muslim?
@IwaIl-k5r,"Semoga pak Prabowo menjadi pen minpin yg adil, mari kita bersama sama mendukung penuh, dan mendoa kan beliau rukun dan sehat sehat bersama keluarga, untuk rakyat dan negeri ini,",2024-03-24T18:17:36Z,0,"Semoga pak Prabowo menjadi pemimpin yang adil, mari kita bersama-sama mendukung penuh, dan mendoakan beliau rukun dan sehat bersama keluarga, untuk rakyat dan negeri ini."
@amiddani7190,Selamat pak prabowo jd RI 1 2024_2029.,2024-03-24T17:25:49Z,1,Selamat Pak Prabowo menjadi Presiden RI periode 2024-2029.
@BefulAsensio,Sama2 pak,2024-03-24T17:07:39Z,0,Sama-sama pak
@LilaBusana,Semoga sukses selalu pak prabowo  semoga maju negara yang paling  .makmor rakyatnya,2024-03-24T17:03:07Z,0,"Semoga sukses selalu Pak Prabowo, semoga maju negara yang paling makmur rakyatnya."
@LilaBusana,Mantap pak Prabowo Subianto,2024-03-24T17:00:17Z,0,Mantap pak Prabowo Subianto
@MidoriaIzuku-kt9pb,"01,02,03,semua sudah berjuang,yg jadi 02, hasi curang/ tidak.tapi itu nyatanya,kita terima,kita dukung,kita doakn,semoga membawa NKRI lebih kuat,lebih maju,lebih mamur,dan amanah.amiin",2024-03-24T16:37:12Z,0,"01, 02, 03, semua sudah berjuang, yang jadi 02, hasil curang/tidak. Tapi itu nyatanya, kita terima, kita dukung, kita doakan, semoga membawa NKRI lebih kuat, lebih maju, lebih aman, dan amanah. Amin."
@lukmanyusuf5965,"Berpes
Ta poralah atas  kemenangan yg palsu !kau akan pertanggung jawaban  nantik di mana tipu daya tidak berguna lagi yaitu pengadilan YG MAHA AGUNG ALLAH SWT",2024-03-24T14:54:04Z,0,"Berpes
Tak perlu berbangga atas kemenangan yang palsu, kau akan bertanggung jawab nanti di mana tipu daya tidak berguna lagi, yaitu pengadilan yang Maha Agung, Allah SWT."
@SarmonSarmon-d7e,Senangnya aku lihat pak bowo..ikut bahagia lihatnya,2024-03-24T14:01:20Z,0,"Senangnya aku melihat Pak Prabowo, ikut bahagia melihatnya."
@OppoA-xv5er,Bang ara kemana ya,2024-03-24T12:48:46Z,0,Bang ara kemana ya
@andilehoy4692,"Selamat kepada pak Anis, kini sedang menangis setelah janji janji manisnya gagal di sengketa KPU.",2024-03-24T10:03:40Z,0,"Selamat kepada Pak Anis, kini sedang menangis setelah janji-janji manisnya gagal di sengketa KPU."
@AnwarAnwar-s8o8g,"Prof Yusril mantap, tampil lbh muda asoy",2024-03-24T09:35:34Z,0,"Prof Yusril mantap, tampil lebih muda asoy"
@asepmohamad3987,Barokalloh Bapak ...sehat sekalu panjang umur Amiin amiin amiin,2024-03-24T09:12:29Z,0,"Barokalloh Bapak, semoga sehat selalu dan panjang umur. Amin."
@hens264,Alam memberi tanda awal penguasa,2024-03-24T08:05:47Z,0,Alam memberi tanda awal penguasa
@Tritura66,Ga lama jg bakal dilengserij sm keluarga...,2024-03-24T06:09:58Z,0,Ga lama juga bakal dilengserkan dengan keluarga...
@jamiruddinjamiruddin3380,MANDAT RAKYAT KARNA BANSOS..,2024-03-24T05:54:27Z,0,Mandat rakyat karena bansos.
@MartinlutarLaw-kr3uk,Mantap Pak Prabowo cukup ratusan tahun bangsa Indonesia ditindas saatnya pribumi diatas martbat bangsa besar Nusantara..NKRI jaya,2024-03-24T05:52:33Z,0,Mantap Pak Prabowo cukup ratusan tahun bangsa Indonesia ditindas saatnya pribumi di atas martabat bangsa besar Nusantara.. NKRI jaya
@anasalhusain115,Partai aj ngk punya....kok oposisi,2024-03-24T05:49:28Z,0,"Partai tidak punya, kok oposisi"
@MasBrroOfficiaL,SELAMAT PAK PRABOWO dan MAS GIBRAN... Alhamdulillah saya coblos sampean2 pada 14 February kemarin... Salam dari SoLo yg berdomisili di Kalimantan Selatan...,2024-03-24T05:23:02Z,4,Selamat Pak Prabowo dan Mas Gibran. Alhamdulillah saya coblos kalian pada 14 Februari kemarin. Salam dari Solo yang berdomisili di Kalimantan Selatan.
@onetwo-x4m,Terharu,2024-03-24T04:57:32Z,0,Terharu
