comment,like_count,final_text,sentiment
di tgn mul.. bkn kalian..,0,"di tangan Jokowi, bukan kalian.",negatif
Lee Scott Hernandez Kenneth Taylor George,0,Lee Scott Hernandez Kenneth Taylor George,netral
Lewis Patricia Lopez Betty White Michael,0,"Lewis, Patricia, Lopez, Betty White, Michael.",netral
"Pak, jadilah diri sendiri untuk Indonesia kku tercinta a",0,"Pak, jadilah diri sendiri untuk Indonesia tercinta.",positif
Selamat....menikmati...KECURANGAN.....,0,Selamat menikmati kecurangan.,negatif
selamat wowo kena prenk,0,selamat prabowo kena prank,negatif
Smg Pak Prabowo dpt memimpin Rkyt Indonesia ke pintu yg lbh maju utk kesejahteraan Bngsa Indonesia.....Aamiin....,0,Semoga Pak Prabowo dapat memimpin Rakyat Indonesia ke pintu yang lebih maju untuk kesejahteraan Bangsa Indonesia. Amin.,positif
"Semoga pak Bowo bahagia bersama keluarga,tak bisa seorangpun menghalangi segala rencana yg baik,kecuali allah",0,"Semoga Pak Prabowo bahagia bersama keluarga, tidak ada yang bisa menghalangi segala rencana yang baik, kecuali Allah.",positif
Tunggu putaran ke 2,0,Tunggu putaran ke 2,netral
Lancar tibik,0,Lancar debat,netral
Kaki among LAN Nini among tansah njangkung sak mubah musike bapak Prabowo Subianto krono rindone Gusti kang moho suci,0,Kaki among LAN Nini among tansah njangkung sak mubah musike bapak Prabowo Subianto krono rindone Gusti kang moho suci,positif
Hidup ini harus jujur tegas dan berwibawa  rakyat di sejahtera kan harga sembako murah lapangan pekerja an banyak  di banyakan biar kemakmuran  dan berantas kemiskinan  Jang Jang m Jambi,0,"Hidup ini harus jujur, tegas, dan berwibawa. Rakyat diharapkan sejahtera dengan harga sembako murah, lapangan pekerjaan banyak. Diupayakan agar kemakmuran meningkat dan kemiskinan bisa diberantas. Jang Jang m Jambi",netral
OK GAAASSSSSS PAK...,0,"OK, gas pak.",netral
Alhamdulillah ahirnya pk prabowo dan pk Gibran  pilihan ku jadi persiden RI di th : 2024 smpe slanjutnya.smga lbih sejahtera bngsa indonesia Aamiiiiin ya Allah ya Robbal'alamiiin.,0,Alhamdulillah akhirnya Prabowo dan Gibran pilihan saya jadi presiden RI di tahun 2024. Semoga lebih sejahtera bangsa Indonesia. Amin ya Allah ya Robbal'alamin.,positif
Berhasil di jalur keCurangan,0,Berhasil di jalur kecurangan,negatif
"YA TETAP BERTAHAN DENGAN BAIK LANCAR SEGALA URUSANNYA 
DENGAN BAIK SESUAI DIHARAPKAN MAMPU MEMBERIKAN JALAN YANG BAIK DAN BISA MENJADI INSPIRASI BAGI ORANG LAIN MENILAINYA DENGAN BAIK LAGI SEGALANYA ÀMIN AMIN ÀMIN AMIN YA ROBAL ALAMIN TERIMAKASIH TETAP SEMANGAT DAN TERUS BERJUANG BERSAMA SAMA DEMI TERCAPAINYA TUJUAN PASTI BISA MENDAPAT KAN HASILNYA DENGAN CARA INI BISA MENJADI MAJU TERUS BERJUANG BERSAMA SAMA DEMI TERCAPAINYA KEBAHAGIAAN BERSAMA DENGAN BAIK LAGI SEGALANYA ÀMIN AMIN ÀMIN AMIN ÀMIN AMIN ÀMIN AMIN ÀMIN AMIN YA ROBAL ALAMIN",0,Ya tetap bertahan dengan baik lancar segala urusannya dengan baik sesuai diharapkan mampu memberikan jalan yang baik dan bisa menjadi inspirasi bagi orang lain menilainya dengan baik lagi segalanya amin amin amin amin ya Robal Alamin. Terimakasih tetap semangat dan terus berjuang bersama-sama demi tercapainya tujuan pasti bisa mendapatkan hasilnya dengan cara ini bisa,positif
Bravo pk prabowo,0,Bravo Pak Prabowo,positif
Semoga BPK Prabowo dn Mas Gibran bertabah dan tawekal wsgirin,0,"Semoga BPK Prabowo dan Mas Gibran bertabah dan tawakal, amin.",positif
semoga bukan koar2x doang ya pak,0,Semoga bukan hanya berkoar-koar saja ya Pak.,negatif
01 03 yg mengugat pemilu curang. Jangan dikasilh masuk kabinet,0,Pasangan calon nomor urut 1 dan 3 yang mengugat pemilu curang. Jangan diberi posisi di kabinet.,negatif
